Date,Time,Id,CumReturnResid,CumReturnRaw,CumVolume
20100104,45:00.0,GEN_EQ0010177100001000,-0.010602782,0,199940
20100104,45:00.0,BBG000BQVTF5,-0.014806489,0.002480316,155446
20100104,45:00.0,BBG000BRZBT3,0.005822076,0.03949624,203480
20100104,45:00.0,GEN_EQ0010104800001000,-0.005741953,0.004552784,378983
20100104,45:00.0,BBG000BBDZG3,-0.030195367,-0.013666574,1099793
20100104,45:00.0,BBG000BHQ1H0,-0.012779577,-0.001248737,109271
20100104,45:00.0,BBG000BM7HL0,0.003038437,0.012595902,124649
20100104,45:00.0,BBG000C23KJ3,-0.004135672,0.01652262,329213
20100104,45:00.0,BBG000M65M61,-0.019712131,-0.01393731,1409318
20100104,45:00.0,GEN_EQ0010145600001000,-0.000685664,0.019087348,108483
20100104,45:00.0,BBG000BJQWD2,-0.004800052,0.010262515,183420
20100104,45:00.0,BBG000BKZTP3,-0.004728322,0.01091055,168220
20100104,45:00.0,BBG000C1FQS9,-0.004214984,0.002381885,45420
20100104,45:00.0,BBG000BBVK30,-0.034642033,-0.03098774,1196287
20100104,45:00.0,BBG000BR14K5,-0.008911043,-0.006345996,109134
20100104,45:00.0,BBG000BS0ZF1,-0.01727732,-0.005555805,55726
20100104,45:00.0,BBG000DGPR66,-0.001833984,0.0063425,24780
20100104,45:00.0,BBG000BMKDM3,-5.73E-05,-0.003101043,101989
20100104,45:00.0,BBG000H89QJ6,0.006203778,0.018835995,199273
20100104,45:00.0,BBG000BD0TF8,0.009951986,0.017361728,78306
20100104,45:00.0,BBG000C1FB75,-0.007484895,0.002182337,55492
20100104,45:00.0,BBG000BP4MH0,-0.000176388,0.002245789,95716
20100104,45:00.0,BBG000BB5373,0.001722614,0.012204781,239720
20100104,45:00.0,BBG000BJDPC2,-0.013899845,-0.008074581,310620
20100104,45:00.0,BBG000BMQPL1,0.013370249,0.036003627,854497
20100104,45:00.0,BBG000BKPL53,0.00514779,0.011584883,30620
20100104,45:00.0,BBG000BNJHS8,-0.006352523,-0.010493979,604229
20100104,45:00.0,BBG000BN9WT5,0.004287299,0.015382255,221068
20100104,45:00.0,BBG000BK5DP1,-0.010398942,0.007404967,162558
20100104,45:00.0,BBG000LL9LQ5,-0.002278081,0.037615646,468871
20100104,45:00.0,BBG000R7Z112,-0.02899627,-0.025516933,1764251
20100104,45:00.0,BBG000BJ3PD2,0.002943541,0.009113046,69398
20100104,45:00.0,BBG000BP1Q11,-0.000646672,0.007694002,61873
20100104,45:00.0,BBG000BQZMH4,-0.014119415,-0.008280579,260913
20100104,45:00.0,GEN_EQ0010319800003000,-0.027492138,-0.024546556,443130
20100104,45:00.0,BBG000C0MF34,-0.018655699,0.004121781,55661
20100104,45:00.0,BBG000BPMH90,-0.000894073,0.025175026,116508
20100104,45:00.0,BBG000B9WJ73,0.000509031,0.029649708,186659
20100104,45:00.0,BBG000BLKK03,0.004747114,0.02303589,155446
